,pNum,F_ANG,F_DIS,F_FEA,F_HAP,F_NTR,F_SAD,F_SUP,M_ANG,M_DIS,M_FEA,M_HAP,M_NTR,M_SAD,M_SUP,group
G,G_29,0.5,0.833333333333,0.333333333333,1.0,0.333333333333,0.833333333333,0.833333333333,0.5,0.666666666667,0.666666666667,1.0,0.5,0.833333333333,0.333333333333,G
G,G_3,0.833333333333,1.0,0.5,1.0,0.833333333333,0.833333333333,1.0,1.0,0.833333333333,0.5,1.0,1.0,0.333333333333,1.0,G
G,G_30,0.666666666667,0.833333333333,0.666666666667,1.0,1.0,0.166666666667,0.833333333333,0.833333333333,0.5,0.166666666667,1.0,1.0,0.333333333333,0.833333333333,G
G,G_4,1.0,0.833333333333,0.0,1.0,1.0,1.0,1.0,0.833333333333,1.0,0.0,1.0,0.833333333333,0.833333333333,1.0,G
G,G_5,1.0,0.666666666667,0.833333333333,1.0,0.833333333333,0.166666666667,0.833333333333,0.833333333333,0.666666666667,0.5,1.0,0.833333333333,0.0,0.833333333333,G
G,G_6,1.0,1.0,0.5,0.666666666667,1.0,0.5,0.833333333333,1.0,0.833333333333,0.666666666667,0.5,0.833333333333,0.166666666667,0.666666666667,G
G,G_7,0.833333333333,1.0,0.166666666667,0.833333333333,0.833333333333,1.0,1.0,0.833333333333,1.0,0.166666666667,1.0,1.0,0.5,0.833333333333,G
G,G_8,1.0,1.0,0.5,1.0,1.0,1.0,0.833333333333,1.0,0.833333333333,0.5,1.0,1.0,0.666666666667,1.0,G
G,G_9,0.666666666667,1.0,0.333333333333,1.0,0.5,0.333333333333,0.833333333333,0.833333333333,0.833333333333,0.666666666667,1.0,0.833333333333,0.166666666667,1.0,G
K,K_1,1.0,0.666666666667,0.666666666667,1.0,1.0,0.666666666667,0.833333333333,1.0,0.5,0.666666666667,1.0,1.0,0.5,0.5,K
K,K_10,1.0,0.666666666667,0.333333333333,1.0,0.5,0.833333333333,1.0,1.0,1.0,0.666666666667,0.833333333333,0.833333333333,0.666666666667,1.0,K
K,K_11,0.833333333333,1.0,0.166666666667,1.0,0.833333333333,1.0,0.666666666667,0.666666666667,0.833333333333,0.5,1.0,1.0,0.666666666667,1.0,K
K,K_12,0.833333333333,0.666666666667,0.333333333333,1.0,1.0,0.833333333333,0.666666666667,0.833333333333,0.666666666667,0.5,1.0,1.0,0.166666666667,1.0,K
K,K_13,1.0,0.833333333333,0.333333333333,0.666666666667,0.666666666667,1.0,0.833333333333,0.833333333333,0.666666666667,1.0,1.0,0.833333333333,0.5,1.0,K
K,K_14,0.833333333333,1.0,0.0,1.0,1.0,0.833333333333,0.833333333333,0.666666666667,0.666666666667,0.166666666667,1.0,1.0,0.5,0.833333333333,K
K,K_15,1.0,0.666666666667,0.333333333333,1.0,1.0,0.666666666667,1.0,1.0,0.833333333333,1.0,1.0,1.0,0.666666666667,0.833333333333,K
K,K_2,1.0,0.833333333333,0.833333333333,1.0,0.833333333333,0.833333333333,0.666666666667,1.0,0.833333333333,0.833333333333,1.0,1.0,0.833333333333,0.666666666667,K
K,K_3,0.666666666667,1.0,0.166666666667,0.833333333333,0.166666666667,0.333333333333,0.5,0.333333333333,0.833333333333,0.0,1.0,0.666666666667,0.0,0.666666666667,K
K,K_4,0.833333333333,0.166666666667,0.333333333333,1.0,0.833333333333,0.666666666667,0.833333333333,0.833333333333,0.333333333333,0.333333333333,0.833333333333,1.0,0.333333333333,0.666666666667,K
K,K_5,0.833333333333,0.833333333333,0.333333333333,1.0,0.666666666667,1.0,0.833333333333,0.833333333333,0.833333333333,0.833333333333,1.0,0.666666666667,0.833333333333,1.0,K
K,K_7,1.0,1.0,1.0,1.0,1.0,1.0,0.833333333333,1.0,1.0,0.666666666667,1.0,1.0,0.666666666667,1.0,K
K,K_8,1.0,1.0,0.333333333333,1.0,1.0,0.833333333333,0.666666666667,1.0,0.666666666667,0.166666666667,1.0,1.0,0.833333333333,0.833333333333,K
K,K_9,0.666666666667,0.833333333333,0.0,1.0,0.666666666667,0.166666666667,0.833333333333,0.666666666667,0.5,0.333333333333,1.0,0.833333333333,0.0,0.833333333333,K
