g,p,fgender,00,01,02,03,04,05,06,07,08,09,10,group
K,K004,F,0.0,0.05,0.05,0.05,0.2,0.3,0.4,0.5,0.75,0.95,0.85,1
K,K004,M,0.15,0.25,0.25,0.35,0.35,0.5,0.35,0.7,0.7,0.9,1.0,1
K,K005,F,0.05,0.1,0.1,0.0,0.3,0.5,0.6,0.8,0.95,0.9,0.95,1
K,K005,M,0.0,0.05,0.05,0.25,0.4,0.4,0.7,0.75,0.9,1.0,1.0,1
K,K007,F,0.05,0.0,0.0,0.0,0.05,0.3,0.6,0.75,0.9,0.95,0.95,1
K,K007,M,0.05,0.0,0.0,0.05,0.35,0.45,0.55,0.7,0.95,0.95,0.9,1
K,K008,F,0.1,0.0,0.0,0.15,0.2,0.4,0.55,0.9,0.8,1.0,1.0,1
K,K008,M,0.2,0.0,0.1,0.15,0.2,0.45,0.4,0.65,0.7,0.85,0.85,1
K,K009,F,0.05,0.15,0.2,0.5,0.3,0.6,0.7,0.8,0.85,0.9,1.0,1
K,K009,M,0.3,0.4,0.55,0.55,0.65,0.75,0.9,0.95,1.0,0.95,1.0,1
K,K010,F,0.2,0.1,0.15,0.2,0.2,0.25,0.5,0.6,0.75,0.85,0.9,1
K,K010,M,0.3,0.2,0.35,0.3,0.5,0.5,0.6,0.5,0.85,0.95,0.95,1
K,K011,F,0.0,0.0,0.05,0.1,0.3,0.4,0.55,0.85,0.95,1.0,0.95,1
K,K011,M,0.15,0.05,0.05,0.25,0.45,0.5,0.7,0.95,1.0,0.9,0.95,1
K,K012,F,0.1,0.1,0.2,0.4,0.5,0.65,0.8,0.9,0.9,1.0,0.95,1
K,K012,M,0.15,0.25,0.25,0.45,0.6,0.6,0.7,0.8,1.0,0.95,0.95,1
K,K013,F,0.1,0.05,0.05,0.2,0.3,0.6,0.75,0.85,0.85,0.95,0.9,1
K,K013,M,0.25,0.5,0.4,0.55,0.6,0.55,0.8,0.8,1.0,0.9,1.0,1
K,K014,F,0.0,0.0,0.05,0.0,0.0,0.25,0.45,0.7,0.85,0.95,0.95,1
K,K014,M,0.2,0.2,0.3,0.35,0.35,0.4,0.45,0.65,0.75,0.9,0.85,1
K,K015,F,0.1,0.15,0.2,0.2,0.3,0.45,0.7,0.75,0.9,1.0,0.95,1
K,K015,M,0.0,0.0,0.05,0.2,0.35,0.3,0.65,0.7,0.85,1.0,1.0,1
