,,F,F,F,F,M,M,M,M
,,guess,lapse,slope,threshold,guess,lapse,slope,threshold
G,G027,-0.190386177671,-0.0408357099006,5.57159403525,0.264936475911,0.167000147062,0.0144411611861,12.2740407874,0.419048796754
G,G028,-0.01626583382,0.0700760500414,10.7009855524,0.507981432904,0.148971529762,-0.00473722205298,5.57895495123,0.518629794532
G,G029,0.125777879972,0.387974364823,13.3591924114,0.614937613539,0.476023215599,0.16148014834,8.88698284726,0.550406588008
G,G030,0.27548776899,0.00654038668724,10.1446960555,0.630660634863,0.40617667374,0.0217863123472,12.0517437448,0.590150986361
K,K001,0.0605793636472,0.0419271161424,11.0421664675,0.595495288893,0.179510183615,0.169076430013,9.32321689037,0.524441151132
K,K002,0.201964051456,0.0132211153562,14.4884589153,0.530355511559,0.0307348235089,-0.0255594005187,8.25869081982,0.500987065524
K,K005,0.0416219676131,0.0478806302349,9.81463555219,0.523885662957,-0.0853313183913,-0.11092120751,5.19924409591,0.513181400964
K,K007,-0.00240959158048,0.0557829687912,13.0060422749,0.566655922608,-0.0274649622499,0.0216082772727,7.50088810635,0.52874720722
K,K008,0.0290380065719,-0.00440323618132,9.35030688617,0.56058294734,0.0766249259947,0.0893913647009,7.0310938531,0.610357133172
K,K009,-0.318794395705,-0.19627282437,2.94956013321,0.378884258069,0.193725257234,-0.0384065917911,5.02422911365,0.333695842341
K,K010,0.145605280327,0.081680477867,9.36859020854,0.651318309777,0.200742558063,-0.41538747976,3.62054900434,0.828720699092
K,K011,-0.0115209448422,-0.0296298339536,8.15024113785,0.54416440691,0.0677197571686,0.0206541734082,9.14447856334,0.478764665727
K,K012,0.012431176155,0.0108521540892,6.76343531741,0.393124315238,-0.0265255393528,-0.0643873029919,4.18836498028,0.388372370421
K,K013,0.0570762807578,0.0949379505197,11.8347404338,0.463544876223,0.0626756160476,-0.2420904751,2.66730698114,0.476448440871
K,K014,-0.00513442548396,0.0370740259782,11.6016857033,0.610768268829,0.227628852543,0.0217257692129,6.53807211114,0.675351484515
K,K015,0.119224749931,0.00294721880414,8.41954486021,0.551056702407,-0.0780752319297,-0.152614186206,5.10664443041,0.574363271449
