img,num,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,date,group,expName,participant,frameRate,
,,,,,,,,,,,,,,return,48.8375859261,,,,,,,,,,,,,,,,,,,,,,,2015_Sep_28_1414,G,facesParametric,13,59.6982567209,
./basicStim/02F_DI_O.jpg,,0,0,0,8,,,,,,,,,,,None,None,None,None,SUP,22.512,None,None,,,,,,,,,,,,,,,2015_Sep_28_1414,G,facesParametric,13,59.6982567209,
./basicStim/21M_NE_C.jpg,,0,1,1,48,,,,,,,,,,,None,None,None,None,None,None,NTR,27.829,,,,,,,,,,,,,,,2015_Sep_28_1414,G,facesParametric,13,59.6982567209,
./basicStim/36M_DI_O.jpg,,0,2,2,78,,,,,,,,,,,None,None,None,None,None,None,NTR,13.646,,,,,,,,,,,,,,,2015_Sep_28_1414,G,facesParametric,13,59.6982567209,
./basicStim/07F_DI_O.jpg,,0,3,3,29,,,,,,,,,,,SAD,9.306,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_28_1414,G,facesParametric,13,59.6982567209,
./basicStim/34M_AN_O.jpg,,0,4,4,70,,,,,,,,,,,None,None,ANG,3.043,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_28_1414,G,facesParametric,13,59.6982567209,
./basicStim/09F_HA_O.jpg,,0,5,5,38,,,,,,,,,,,HAP,3.492,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_28_1414,G,facesParametric,13,59.6982567209,
./basicStim/06F_SP_O.jpg,,0,6,6,26,,,,,,,,,,,None,None,None,None,SUP,3.724,None,None,,,,,,,,,,,,,,,2015_Sep_28_1414,G,facesParametric,13,59.6982567209,
./basicStim/02F_SP_O.jpg,,0,7,7,12,,,,,,,,,,,None,None,None,None,SUP,1.884,None,None,,,,,,,,,,,,,,,2015_Sep_28_1414,G,facesParametric,13,59.6982567209,
./basicStim/06F_SA_C.jpg,,0,8,8,25,,,,,,,,,,,None,None,None,None,SUP,11.162,None,None,,,,,,,,,,,,,,,2015_Sep_28_1414,G,facesParametric,13,59.6982567209,
./basicStim/28M_FE_O.jpg,,0,9,9,65,,,,,,,,,,,None,None,None,None,SUP,1.654,None,None,,,,,,,,,,,,,,,2015_Sep_28_1414,G,facesParametric,13,59.6982567209,
./basicStim/34M_SA_C.jpg,,0,10,10,74,,,,,,,,,,,SAD,2.288,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_28_1414,G,facesParametric,13,59.6982567209,
./basicStim/02F_HA_O.jpg,,0,11,11,10,,,,,,,,,,,HAP,4.262,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_28_1414,G,facesParametric,13,59.6982567209,
./basicStim/03F_SA_C.jpg,,0,12,12,18,,,,,,,,,,,None,None,None,None,None,None,NTR,2.505,,,,,,,,,,,,,,,2015_Sep_28_1414,G,facesParametric,13,59.6982567209,
./basicStim/36M_SP_O.jpg,,0,13,13,82,,,,,,,,,,,None,None,None,None,SUP,3.261,None,None,,,,,,,,,,,,,,,2015_Sep_28_1414,G,facesParametric,13,59.6982567209,
./basicStim/06F_AN_O.jpg,,0,14,14,21,,,,,,,,,,,None,None,None,None,DIS,5.915,None,None,,,,,,,,,,,,,,,2015_Sep_28_1414,G,facesParametric,13,59.6982567209,
