img,num,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,date,group,expName,participant,frameRate,
,,,,,,,,,,,,,,return,31.3439509869,,,,,,,,,,,,,,,,,,,,,,,2015_Nov_05_1149,G,facesParametric,23,59.3986359414,
./basicStim/09F_NE_C.jpg,,0,0,0,41,,,,,,,,,,,None,None,ANG,4.181,SUP,4.183,None,None,,,,,,,,,,,,,,,2015_Nov_05_1149,G,facesParametric,23,59.3986359414,
./basicStim/34M_SP_O.jpg,,0,1,1,75,,,,,,,,,,,HAP,2.621,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_05_1149,G,facesParametric,23,59.3986359414,
./basicStim/23M_NE_C.jpg,,0,2,2,55,,,,,,,,,,,None,None,None,None,None,None,NTR,3.387,,,,,,,,,,,,,,,2015_Nov_05_1149,G,facesParametric,23,59.3986359414,
./basicStim/03F_DI_O.jpg,,0,3,3,15,,,,,,,,,,,None,None,None,None,DIS,1.953,None,None,,,,,,,,,,,,,,,2015_Nov_05_1149,G,facesParametric,23,59.3986359414,
./basicStim/06F_NE_C.jpg,,0,4,4,27,,,,,,,,,,,None,None,None,None,None,None,NTR,5.748,,,,,,,,,,,,,,,2015_Nov_05_1149,G,facesParametric,23,59.3986359414,
./basicStim/24M_AN_O.jpg,,0,5,5,56,,,,,,,,,,,None,None,ANG,3.816,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_05_1149,G,facesParametric,23,59.3986359414,
./basicStim/09F_SP_O.jpg,,0,6,6,40,,,,,,,,,,,None,None,None,None,SUP,4.658,None,None,,,,,,,,,,,,,,,2015_Nov_05_1149,G,facesParametric,23,59.3986359414,
./basicStim/36M_AN_O.jpg,,0,7,7,77,,,,,,,,,,,None,None,ANG,3.426,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_05_1149,G,facesParametric,23,59.3986359414,
./basicStim/28M_FE_O.jpg,,0,8,8,65,,,,,,,,,,,None,None,FEA,3.224,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_05_1149,G,facesParametric,23,59.3986359414,
