img,num,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,key_resp_5.keys,key_resp_5.rt,date,group,expName,participant,frameRate,
,,,,,,,,,,,,,,return,12.3573279381,,,,,,,,,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/21M_AN_O.jpg,,0,0,0,42,,,,,,,,,,,None,None,ANG,7.981,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/07F_HA_O.jpg,,0,1,1,31,,,,,,,,,,,HAP,2.988,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/01F_SA_C.jpg,,0,2,2,4,,,,,,,,,,,SAD,4.066,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/07F_SA_C.jpg,,0,3,3,32,,,,,,,,,,,SAD,0.63,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/28M_FE_O.jpg,,0,4,4,65,,,,,,,,,,,None,None,FEA,4.477,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/01F_AN_O.jpg,,0,5,5,0,,,,,,,,,,,None,None,ANG,2.785,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/23M_HA_O.jpg,,0,6,6,52,,,,,,,,,,,HAP,1.833,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/06F_DI_O.jpg,,0,7,7,22,,,,,,,,,,,None,None,None,None,DIS,1.634,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/07F_SP_O.jpg,,0,8,8,33,,,,,,,,,,,None,None,None,None,SUP,1.825,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/07F_DI_O.jpg,,0,9,9,29,,,,,,,,,,,None,None,None,None,DIS,1.844,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/28M_AN_O.jpg,,0,10,10,63,,,,,,,,,,,None,None,ANG,1.62,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/34M_SA_C.jpg,,0,11,11,74,,,,,,,,,,,SAD,1.346,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/02F_HA_O.jpg,,0,12,12,10,,,,,,,,,,,HAP,1.968,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/24M_HA_O.jpg,,0,13,13,59,,,,,,,,,,,HAP,0.509,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/24M_AN_O.jpg,,0,14,14,56,,,,,,,,,,,None,None,ANG,1.584,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/23M_FE_O.jpg,,0,15,15,51,,,,,,,,,,,None,None,None,None,SUP,1.089,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/03F_NE_C.jpg,,0,16,16,20,,,,,,,,,,,None,None,None,None,None,None,NTR,1.382,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/03F_DI_O.jpg,,0,17,17,15,,,,,,,,,,,None,None,None,None,DIS,1.491,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/03F_HA_O.jpg,,0,18,18,17,,,,,,,,,,,HAP,0.929,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/34M_AN_O.jpg,,0,19,19,70,,,,,,,,,,,None,None,ANG,1.43,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/21M_SA_C.jpg,,0,20,20,46,,,,,,,,,,,None,None,FEA,4.644,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/23M_AN_O.jpg,,0,21,21,49,,,,,,,,,,,None,None,ANG,1.312,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/06F_HA_O.jpg,,0,22,22,24,,,,,,,,,,,HAP,1.396,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/01F_NE_C.jpg,,0,23,23,6,,,,,,,,,,,None,None,None,None,None,None,NTR,6.0,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/34M_FE_O.jpg,,0,24,24,72,,,,,,,,,,,None,None,FEA,1.63,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/01F_DI_O.jpg,,0,25,25,1,,,,,,,,,,,None,None,None,None,DIS,1.055,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/23M_NE_C.jpg,,0,26,26,55,,,,,,,,,,,None,None,None,None,None,None,NTR,2.501,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/21M_SP_O.jpg,,0,27,27,47,,,,,,,,,,,None,None,None,None,SUP,1.643,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/34M_DI_O.jpg,,0,28,28,71,,,,,,,,,,,None,None,None,None,DIS,1.748,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/24M_DI_O.jpg,,0,29,29,57,,,,,,,,,,,None,None,None,None,DIS,6.761,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/02F_SA_C.jpg,,0,30,30,11,,,,,,,,,,,SAD,5.454,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/03F_SA_C.jpg,,0,31,31,18,,,,,,,,,,,SAD,3.589,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/07F_FE_O.jpg,,0,32,32,30,,,,,,,,,,,None,None,FEA,3.149,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/02F_DI_O.jpg,,0,33,33,8,,,,,,,,,,,None,None,None,None,DIS,1.191,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/23M_SA_C.jpg,,0,34,34,53,,,,,,,,,,,SAD,3.666,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/28M_SA_C.jpg,,0,35,35,67,,,,,,,,,,,None,None,FEA,3.736,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/02F_NE_C.jpg,,0,36,36,13,,,,,,,,,,,None,None,None,None,None,None,NTR,1.574,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/06F_NE_C.jpg,,0,37,37,27,,,,,,,,,,,None,None,None,None,None,None,NTR,1.947,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/09F_NE_C.jpg,,0,38,38,41,,,,,,,,,,,None,None,None,None,None,None,NTR,1.104,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/06F_SP_O.jpg,,0,39,39,26,,,,,,,,,,,None,None,None,None,SUP,1.448,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/36M_FE_O.jpg,,0,40,40,79,,,,,,,,,,,None,None,FEA,2.367,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/28M_DI_O.jpg,,0,41,41,64,,,,,,,,,,,None,None,None,None,DIS,3.088,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/01F_SP_O.jpg,,0,42,42,5,,,,,,,,,,,None,None,None,None,SUP,1.148,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/03F_FE_O.jpg,,0,43,43,16,,,,,,,,,,,None,None,FEA,1.826,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/21M_NE_C.jpg,,0,44,44,48,,,,,,,,,,,None,None,None,None,None,None,NTR,1.559,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/06F_FE_O.jpg,,0,45,45,23,,,,,,,,,,,None,None,FEA,1.562,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/01F_FE_O.jpg,,0,46,46,2,,,,,,,,,,,None,None,FEA,1.445,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/21M_HA_O.jpg,,0,47,47,45,,,,,,,,,,,HAP,1.784,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/09F_DI_O.jpg,,0,48,48,36,,,,,,,,,,,None,None,None,None,DIS,1.695,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/03F_AN_O.jpg,,0,49,49,14,,,,,,,,,,,None,None,ANG,1.663,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/02F_AN_O.jpg,,0,50,50,7,,,,,,,,,,,None,None,ANG,0.792,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/28M_NE_C.jpg,,0,51,51,69,,,,,,,,,,,None,None,None,None,None,None,NTR,1.359,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/36M_SP_O.jpg,,0,52,52,82,,,,,,,,,,,None,None,None,None,SUP,0.859,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/28M_SP_O.jpg,,0,53,53,68,,,,,,,,,,,None,None,None,None,SUP,1.262,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/34M_SP_O.jpg,,0,54,54,75,,,,,,,,,,,None,None,None,None,SUP,0.422,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/09F_HA_O.jpg,,0,55,55,38,,,,,,,,,,,HAP,1.032,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/09F_FE_O.jpg,,0,56,56,37,,,,,,,,,,,None,None,FEA,1.546,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/21M_DI_O.jpg,,0,57,57,43,,,,,,,,,,,None,None,None,None,DIS,0.912,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/06F_AN_O.jpg,,0,58,58,21,,,,,,,,,,,None,None,ANG,1.398,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/36M_DI_O.jpg,,0,59,59,78,,,,,,,,,,,None,None,None,None,DIS,1.917,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/24M_FE_O.jpg,,0,60,60,58,,,,,,,,,,,None,None,FEA,2.379,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/01F_HA_O.jpg,,0,61,61,3,,,,,,,,,,,HAP,3.609,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/03F_SP_O.jpg,,0,62,62,19,,,,,,,,,,,HAP,0.407,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/02F_FE_O.jpg,,0,63,63,9,,,,,,,,,,,None,None,FEA,1.416,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/34M_HA_O.jpg,,0,64,64,73,,,,,,,,,,,HAP,0.928,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
./basicStim/34M_NE_C.jpg,,0,65,65,76,,,,,,,,,,,None,None,None,None,None,None,NTR,1.262,,,,,,,,,,,,,2015_Sep_26_1342,K,facesParametric,77,59.6541900689,
